Date,Open,High,Low,Close,Volume
2011-11-18,1216.19,1223.51,1211.36,1215.65,2126450000
2011-11-21,1215.62,1215.62,1183.16,1192.98,2250038889
2011-11-22,1192.98,1196.81,1181.65,1188.04,2173172222
2011-11-23,1187.48,1187.48,1161.79,1161.79,2110522222
2011-11-25,1161.41,1172.66,1158.66,1158.67,924555556
2011-11-28,1158.67,1197.35,1158.67,1192.55,2178194444
2011-11-29,1192.56,1203.67,1191.8,1195.19,2218138889
2011-11-30,1196.72,1247.11,1196.72,1246.96,3223283333
2011-12-01,1246.91,1251.09,1239.73,1244.58,2121488889
2011-12-02,1246.03,1260.08,1243.35,1244.28,2302394444
2011-12-05,1244.33,1266.73,1244.33,1257.08,2304477778
2011-12-06,1257.19,1266.03,1253.03,1258.47,2074572222
2011-12-07,1258.14,1267.06,1244.8,1261.01,2311411111
2011-12-08,1260.87,1260.87,1231.47,1234.35,2387983333
2011-12-09,1234.48,1258.25,1234.48,1255.19,2128116667
2011-12-12,1255.05,1255.05,1227.25,1236.47,2000316667
2011-12-13,1236.83,1249.86,1219.43,1225.73,2289761111
2011-12-14,1225.73,1225.73,1209.47,1211.82,2387938889
2011-12-15,1212.12,1225.6,1212.12,1215.75,2116855556
2011-12-16,1216.09,1231.04,1215.2,1219.66,2969888889
2011-12-19,1219.74,1224.57,1202.37,1205.35,2033233333
2011-12-20,1205.72,1242.82,1205.72,1241.3,2253105556
2011-12-21,1241.25,1245.09,1229.51,1243.72,1643900000
2011-12-22,1243.72,1255.22,1243.72,1254,1940138889
2011-12-23,1254,1265.42,1254,1265.33,1241016667
2011-12-27,1265.02,1269.37,1262.3,1265.43,1183661111
2011-12-28,1265.38,1265.85,1248.64,1249.64,1305544444
2011-12-29,1249.75,1263.54,1249.75,1263.02,1265627778
2011-12-30,1262.82,1264.12,1257.46,1257.6,1262138889
2012-01-03,1258.86,1284.62,1258.86,1277.06,2190950000
2012-01-04,1277.03,1278.73,1268.1,1277.3,1995877778
2012-01-05,1277.3,1283.05,1265.26,1281.06,2397750000
2012-01-06,1280.93,1281.84,1273.34,1277.81,2031572222
2012-01-09,1277.83,1281.99,1274.55,1280.7,1873111111
2012-01-10,1280.77,1296.46,1280.77,1292.08,2345533333
2012-01-11,1292.02,1293.8,1285.41,1292.48,2204511111
2012-01-12,1292.48,1296.82,1285.77,1295.5,2233272222
2012-01-13,1294.82,1294.82,1277.58,1289.09,2051316667
2012-01-17,1290.22,1303,1290.22,1293.67,2228050000
2012-01-18,1293.65,1308.11,1290.99,1308.04,2275644444
2012-01-19,1308.07,1315.49,1308.07,1314.5,2481050000
2012-01-20,1314.49,1315.38,1309.17,1315.38,2173677778
2012-01-23,1315.29,1322.28,1309.89,1316,2094950000
2012-01-24,1315.96,1315.96,1306.06,1314.65,2051977778
2012-01-25,1314.4,1328.3,1307.65,1326.06,2450505556
2012-01-26,1326.28,1333.47,1313.6,1318.43,2512261111
2012-01-27,1318.25,1320.06,1311.72,1316.33,2226322222
2012-01-30,1316.16,1316.16,1300.49,1313.01,2032783333
2012-01-31,1313.53,1321.41,1306.69,1312.41,2353083333
2012-02-01,1312.45,1330.52,1312.45,1324.09,2502422222
2012-02-02,1324.24,1329.19,1321.57,1325.54,2289400000
2012-02-03,1326.21,1345.34,1326.21,1344.9,2560305556
2012-02-06,1344.32,1344.36,1337.52,1344.33,1877611111
2012-02-07,1344.33,1349.24,1335.92,1347.05,2079144444
2012-02-08,1347.04,1351,1341.95,1349.96,2275961111
2012-02-09,1349.97,1354.32,1344.63,1351.95,2338827778
2012-02-10,1351.21,1351.21,1337.35,1342.64,2154211111
2012-02-13,1343.06,1353.35,1343.06,1351.77,2010022222
2012-02-14,1351.3,1351.3,1340.83,1350.5,2160844444
2012-02-15,1350.52,1355.87,1340.8,1343.23,2266855556
2012-02-16,1342.61,1359.02,1341.22,1358.04,2282711111
2012-02-17,1358.06,1363.4,1357.24,1361.23,2065355556
2012-02-21,1361.22,1367.76,1358.11,1362.21,2108444444
2012-02-22,1362.11,1362.7,1355.53,1357.66,2018727778
2012-02-23,1357.53,1364.24,1352.28,1363.46,2103583333
2012-02-24,1363.46,1368.92,1363.46,1365.74,1947422222
2012-02-27,1365.2,1371.94,1354.92,1367.59,2027161111
2012-02-28,1367.56,1373.09,1365.97,1372.18,1988400000
2012-02-29,1372.2,1378.04,1363.81,1365.68,2490205556
2012-03-01,1365.9,1376.17,1365.9,1374.09,2177355556
2012-03-02,1374.09,1374.53,1366.42,1369.63,1824161111
2012-03-05,1369.59,1369.59,1359.13,1364.33,1905266667
2012-03-06,1363.63,1363.63,1340.03,1343.36,2328366667
2012-03-07,1343.39,1354.85,1343.39,1352.63,1989100000
2012-03-08,1352.65,1368.72,1352.65,1365.91,1968366667
2012-03-09,1365.97,1374.76,1365.97,1370.87,2021927778
2012-03-12,1370.78,1373.04,1366.69,1371.09,1712150000
2012-03-13,1371.92,1396.13,1371.92,1395.95,2436927778
2012-03-14,1395.95,1399.42,1389.97,1394.28,2501266667
2012-03-15,1394.17,1402.63,1392.78,1402.6,2373138889
2012-03-16,1402.55,1405.88,1401.47,1404.17,2868861111
2012-03-19,1404.17,1414,1402.43,1409.75,2184761111
2012-03-20,1409.59,1409.59,1397.68,1405.52,2052933333
2012-03-21,1405.52,1407.75,1400.64,1402.89,1985327778
2012-03-22,1402.89,1402.89,1388.73,1392.78,2078105556
2012-03-23,1392.78,1399.18,1386.87,1397.11,1929416667
2012-03-26,1397.11,1416.58,1397.11,1416.51,1987194444
2012-03-27,1416.55,1419.15,1411.95,1412.52,1952022222
2012-03-28,1412.52,1413.65,1397.2,1405.54,2162666667
2012-03-29,1405.39,1405.39,1391.56,1403.28,2128888889
2012-03-30,1403.31,1410.89,1401.42,1408.47,2042716667
2012-04-02,1408.47,1422.38,1404.46,1419.04,1984450000
2012-04-03,1418.98,1419,1404.62,1413.38,2123383333
2012-04-04,1413.09,1413.09,1394.09,1398.96,2187938889
2012-04-05,1398.79,1401.6,1392.92,1398.08,1835411111
2012-04-09,1397.45,1397.45,1378.24,1382.2,1927211111
2012-04-10,1382.18,1383.01,1357.38,1358.59,2573183333
2012-04-11,1358.98,1374.71,1358.98,1368.71,2079466667
2012-04-12,1368.77,1388.13,1368.77,1387.57,2010155556
2012-04-13,1387.61,1387.61,1369.85,1370.26,2017311111
2012-04-16,1370.27,1379.66,1365.38,1369.57,1985988889
2012-04-17,1369.57,1392.76,1369.57,1390.78,1920111111
2012-04-18,1390.78,1390.78,1383.29,1385.14,1923966667
2012-04-19,1385.08,1390.46,1370.3,1376.92,2322233333
2012-04-20,1376.96,1387.4,1376.96,1378.53,2129622222
2012-04-23,1378.53,1378.53,1358.79,1366.94,2030477778
2012-04-24,1366.97,1375.57,1366.82,1371.97,2009500000
2012-04-25,1372.11,1391.37,1372.11,1390.69,2221350000
2012-04-26,1390.64,1402.09,1387.28,1399.98,2241500000
2012-04-27,1400.19,1406.64,1397.31,1403.36,2025461111
2012-04-30,1403.26,1403.26,1394,1397.91,1985561111
2012-05-01,1397.86,1415.32,1395.73,1405.82,2115527778
2012-05-02,1405.5,1405.5,1393.92,1402.31,2113255556
2012-05-03,1402.32,1403.07,1388.71,1391.57,2224950000
2012-05-04,1391.51,1391.51,1367.96,1369.1,2208411111
2012-05-07,1368.79,1373.91,1363.94,1369.58,1977438889
2012-05-08,1369.16,1369.16,1347.75,1363.72,2367594444
2012-05-09,1363.2,1363.73,1343.13,1354.58,2382522222
2012-05-10,1354.58,1365.88,1354.58,1357.99,2071105556
2012-05-11,1358.11,1365.66,1348.89,1353.39,2149483333
2012-05-14,1351.93,1351.93,1336.61,1338.35,2048955556
2012-05-15,1338.36,1344.94,1328.41,1330.66,2285577778
2012-05-16,1330.78,1341.78,1324.79,1324.8,2378011111
2012-05-17,1324.82,1326.36,1304.86,1304.86,2591266667
2012-05-18,1305.05,1312.24,1291.98,1295.22,2506927778
2012-05-21,1295.73,1316.39,1295.73,1315.99,2103750000
2012-05-22,1316.09,1328.49,1310.04,1316.63,2290933333
2012-05-23,1316.02,1320.71,1296.53,1318.86,2282405556
2012-05-24,1318.72,1324.14,1310.5,1320.68,2187594444
2012-05-25,1320.81,1324.2,1314.23,1317.82,1595922222
2012-05-29,1318.9,1334.93,1318.9,1332.42,1912022222
2012-05-30,1331.25,1331.25,1310.76,1313.32,1963494444
2012-05-31,1313.09,1319.74,1298.9,1310.33,2532011111
2012-06-01,1309.87,1309.87,1277.25,1278.04,2594083333
2012-06-04,1278.29,1282.55,1266.74,1278.18,2228866667
2012-06-05,1277.82,1287.62,1274.16,1285.5,1890683333
2012-06-06,1285.61,1315.13,1285.61,1315.13,2371311111
2012-06-07,1316.15,1329.05,1312.68,1314.99,2365633333
2012-06-08,1314.99,1325.81,1307.77,1325.66,1942883333
2012-06-11,1325.72,1335.52,1307.73,1308.93,1965294444
2012-06-12,1309.4,1324.31,1306.62,1324.18,1912733333
2012-06-13,1324.02,1327.28,1310.51,1314.88,1948061111
2012-06-14,1314.88,1333.68,1314.14,1329.1,2048733333
2012-06-15,1329.19,1343.32,1329.19,1342.84,2445316667
2012-06-18,1342.42,1348.22,1334.46,1344.78,1810794444
2012-06-19,1344.83,1363.46,1344.83,1357.98,2119638889
2012-06-20,1358.04,1361.57,1346.45,1355.69,2053166667
2012-06-21,1355.43,1358.27,1324.41,1325.51,2274705556
2012-06-22,1325.92,1337.82,1325.92,1335.02,2928605556
2012-06-25,1334.9,1334.9,1309.27,1313.72,1945455556
2012-06-26,1314.09,1324.24,1310.3,1319.99,1896077778
2012-06-27,1320.71,1334.4,1320.71,1331.85,1826061111
2012-06-28,1331.52,1331.52,1313.29,1329.04,2205205556
2012-06-29,1330.12,1362.17,1330.12,1362.16,2550266667
2012-07-02,1362.33,1366.35,1355.7,1365.51,1834250000
2012-07-03,1365.75,1374.81,1363.53,1374.02,1175772222
2012-07-05,1373.72,1373.85,1363.02,1367.58,1689733333
2012-07-06,1367.09,1367.09,1348.03,1354.68,1525077778
2012-07-09,1354.66,1354.87,1346.65,1352.46,1613811111
2012-07-10,1352.96,1361.54,1336.27,1341.47,1928111111
2012-07-11,1341.4,1345,1333.25,1341.45,1903494444
2012-07-12,1341.29,1341.29,1325.41,1334.76,2030244444
2012-07-13,1334.81,1357.7,1334.81,1356.78,1784961111
2012-07-16,1356.5,1357.26,1348.51,1353.64,1590400000
2012-07-17,1353.68,1365.36,1345.07,1363.67,1981488889
2012-07-18,1363.58,1375.26,1358.96,1372.78,2023683333
2012-07-19,1373.01,1380.39,1371.21,1376.51,2246311111
2012-07-20,1376.51,1376.51,1362.19,1362.66,2180566667
2012-07-23,1362.34,1362.34,1337.56,1350.52,2065100000
2012-07-24,1350.52,1351.53,1329.24,1338.31,2161827778
2012-07-25,1338.35,1343.98,1331.5,1337.89,2066205556
2012-07-26,1338.17,1363.13,1338.17,1360.02,2460722222
2012-07-27,1360.05,1389.19,1360.05,1385.97,2443894444
2012-07-30,1385.94,1391.74,1381.37,1385.3,1784477778
2012-07-31,1385.27,1387.16,1379.17,1379.32,2123094444
2012-08-01,1379.32,1385.03,1373.35,1375.32,2467177778
2012-08-02,1375.13,1375.13,1354.65,1365,2329855556
2012-08-03,1365.45,1394.16,1365.45,1390.99,2083983333
2012-08-06,1391.04,1399.63,1391.04,1394.23,1734472222
2012-08-07,1394.46,1407.14,1394.46,1401.35,2045827778
2012-08-08,1401.23,1404.14,1396.13,1402.22,1789883333
2012-08-09,1402.26,1405.95,1398.8,1402.8,1733116667
2012-08-10,1402.58,1405.98,1395.62,1405.87,1537766667
2012-08-13,1405.87,1405.87,1397.32,1404.11,1388883333
2012-08-14,1404.36,1410.03,1400.6,1403.93,1628277778
2012-08-15,1403.89,1407.73,1401.83,1405.53,1475416667
2012-08-16,1405.57,1417.44,1404.15,1415.51,1730055556
2012-08-17,1415.84,1418.71,1414.67,1418.16,1623883333
2012-08-20,1417.85,1418.13,1412.12,1418.13,1536844444
2012-08-21,1418.13,1426.68,1410.86,1413.17,1823861111
2012-08-22,1413.09,1416.12,1406.78,1413.49,1701494444
2012-08-23,1413.49,1413.49,1400.5,1402.08,1671244444
2012-08-24,1401.99,1413.46,1398.04,1411.13,1443772222
2012-08-27,1411.13,1416.17,1409.11,1410.44,1373611111
2012-08-28,1410.44,1413.63,1405.59,1409.3,1460605556
2012-08-29,1409.32,1413.95,1406.57,1410.49,1428455556
2012-08-30,1410.08,1410.08,1397.01,1399.48,1405711111
2012-08-31,1400.07,1413.09,1398.96,1406.58,1632361111
2012-09-04,1406.54,1409.31,1396.56,1404.94,1777950000
2012-09-05,1404.94,1408.81,1401.25,1403.44,1882838889
